bloco;titulo_bloco;pergunta;alternativa_a;alternativa_b;alternativa_c;alternativa_d;resposta_correta;explicacao;tempo_bloco_minutos
"1";"Private, Public e Elastic IP";"Uma instancia EC2 em uma subnet IPv4 recebe um endereco IPv4 privado primario. O que acontece com esse endereco privado quando a instancia e parada e iniciada novamente?";"Ele e liberado e um novo endereco privado e atribuido no proximo start.";"Ele permanece associado a interface de rede da instancia.";"Ele passa a ser um Elastic IP automaticamente.";"Ele so permanece se a instancia estiver em uma subnet publica.";"B";"O IPv4 privado primario permanece associado a network interface quando a instancia e parada/iniciada ou hibernada/iniciada, e e liberado quando a instancia e terminada.";"20"
"1";"Private, Public e Elastic IP";"Uma instancia e lancada em uma subnet de uma VPC nao padrao. Nenhuma configuracao adicional de public IPv4 foi habilitada. Qual e o comportamento padrao?";"A instancia recebe public IPv4 automaticamente.";"A instancia recebe apenas Elastic IP.";"A instancia nao recebe public IPv4 automaticamente.";"A instancia recebe public IPv4 apenas se usar security group default.";"C";"Em subnets de VPC nao padrao, a atribuicao automatica de public IPv4 depende do atributo da subnet ou da opcao no lancamento. Por padrao, nao e atribuido public IPv4.";"20"
"1";"Private, Public e Elastic IP";"Uma aplicacao precisa manter o mesmo endereco IPv4 publico mesmo depois de substituir uma instancia EC2 com problema por outra. Qual recurso e mais adequado?";"Public IPv4 automatico da instancia.";"Elastic IP address.";"Private IPv4 primario.";"Endpoint privado do S3.";"B";"Elastic IP e um endereco IPv4 publico estatico alocado a conta, que pode ser reassociado a outro recurso para mascarar falhas.";"20"
"1";"Private, Public e Elastic IP";"Qual afirmacao sobre Elastic IP esta correta?";"Elastic IP pode ser usado para IPv6.";"Elastic IP e global e pode ser movido entre regioes.";"Elastic IP e regional e permanece alocado ate ser liberado explicitamente.";"Elastic IP e criado automaticamente para toda instancia EC2.";"C";"Elastic IP e um endereco IPv4 estatico para uma regiao especifica. Ele fica alocado a conta ate ser liberado explicitamente.";"20"
"1";"Private, Public e Elastic IP";"Uma instancia possui public IPv4 automatico e voce associa um Elastic IP a ela. O que acontece com o public IPv4 automatico anterior?";"Ele continua associado como segundo public IPv4.";"Ele e convertido em Elastic IP.";"Ele e liberado de volta ao pool publico da Amazon.";"Ele passa a ser o private IPv4 primario.";"C";"Ao associar um Elastic IP a uma instancia que ja tem public IPv4, o public IPv4 anterior e liberado e nao pode ser reutilizado ou convertido em Elastic IP.";"20"
"2";"EC2 Placement Groups";"Uma aplicacao HPC precisa de baixa latencia e alto throughput entre instancias EC2 que trocam grande volume de trafego entre si. Qual placement group e mais indicado?";"Cluster placement group.";"Spread placement group.";"Partition placement group.";"Nenhum placement group, pois eles so afetam armazenamento.";"A";"Cluster placement groups agrupam instancias em uma unica Availability Zone e sao recomendados para baixa latencia e alto throughput de rede.";"20"
"2";"EC2 Placement Groups";"Qual limitacao importante existe para cluster placement groups?";"Eles so podem existir em VPC default.";"Eles nao podem abranger multiplas Availability Zones.";"Eles exigem instancias Spot.";"Eles isolam cada instancia em um rack distinto.";"B";"Cluster placement groups nao podem abranger multiplas Availability Zones. Eles agrupam instancias dentro de uma unica AZ.";"20"
"2";"EC2 Placement Groups";"Uma carga distribuida como Cassandra precisa reduzir falhas correlacionadas e conhecer a distribuicao de instancias por conjuntos de racks. Qual estrategia atende melhor?";"Cluster.";"Partition.";"Spread host level em qualquer regiao.";"Elastic IP.";"B";"Partition placement groups dividem o grupo em particoes, cada uma com conjunto proprio de racks, e expoem a informacao de particao para aplicacoes topology-aware.";"20"
"2";"EC2 Placement Groups";"Uma aplicacao tem sete instancias criticas por Availability Zone e quer reduzir o risco de falha simultanea colocando cada instancia em hardware distinto. Qual estrategia usar?";"Spread placement group em nivel de rack.";"Cluster placement group.";"Partition placement group com uma unica particao.";"Auto Scaling group sem placement group.";"A";"Spread placement groups em nivel de rack colocam instancias em hardware distinto e suportam ate sete instancias em execucao por AZ por grupo em uma regiao.";"20"
"2";"EC2 Placement Groups";"Ao usar cluster placement group, qual pratica aumenta a chance de sucesso no lancamento inicial?";"Lancar as instancias uma por vez ao longo de varios dias.";"Usar uma unica requisicao de lancamento e o mesmo tipo de instancia.";"Misturar varios tipos de instancia para aproveitar capacidade.";"Distribuir as instancias em varias regioes.";"B";"A AWS recomenda uma unica requisicao de lancamento para a quantidade necessaria e o mesmo instance type para reduzir risco de insufficient capacity.";"20"
"3";"Elastic Network Interfaces";"O que e uma Elastic Network Interface (ENI) em EC2?";"Um disco EBS usado para swap.";"Uma interface de rede virtual que pode ter IPs, security groups e ser anexada a uma instancia.";"Um tipo de Elastic Load Balancer.";"Um alias DNS publico global.";"B";"ENI e uma interface de rede virtual usada por instancias EC2, com enderecos IP e security groups associados a interface.";"20"
"3";"Elastic Network Interfaces";"Voce precisa mover rapidamente uma interface de rede secundaria com seu private IP para uma instancia de standby na mesma AZ. Qual afirmacao e correta?";"ENIs secundarias podem ser destacadas de uma instancia e anexadas a outra.";"A ENI primaria pode ser destacada a qualquer momento.";"ENIs so podem ser anexadas durante o lancamento da instancia.";"ENIs nao podem manter enderecos IP ao serem movidas.";"A";"Network interfaces secundarias podem ser destacadas e anexadas a outra instancia. A interface primaria nao pode ser destacada.";"20"
"3";"Elastic Network Interfaces";"Uma equipe quer associar security groups diferentes a dois enderecos IP na mesma ENI. Como os security groups se aplicam?";"Security groups sao associados a ENI, nao a IPs individuais.";"Cada private IP da ENI pode ter seu proprio security group.";"Security groups se aplicam apenas ao public IPv4.";"Security groups nao filtram trafego em ENIs secundarias.";"A";"Security groups sao associados a network interfaces. Todos os IPs especificados em uma ENI ficam sujeitos aos security groups dessa ENI.";"20"
"3";"Elastic Network Interfaces";"Qual restricao se aplica ao anexar uma ENI existente a uma instancia EC2?";"A ENI deve estar na mesma Availability Zone da instancia.";"A ENI deve estar sempre em outra VPC.";"A ENI deve estar em outra regiao para alta disponibilidade.";"A ENI so pode ser anexada a instancias terminadas.";"A";"Uma network interface deve estar na mesma Availability Zone da instancia EC2 a qual sera anexada.";"20"
